,Fecha,Brent,Oro,DJ,SP500,TRM
107,2022-06-07,120.56999969482422,1847.5,33180.140625,4160.68017578125,3791.419921875
108,2022-06-08,123.58000183105467,1851.9000244140625,32910.8984375,4115.77001953125,3788.080078125
109,2022-06-09,123.06999969482422,1848.800048828125,32272.7890625,4017.820068359375,3796.89990234375
110,2022-06-10,122.01000213623048,1871.5,31392.7890625,3900.860107421875,3848.02001953125
111,2022-06-13,122.2699966430664,1828.0,30516.740234375,3749.6298828125,3942.64990234375
112,2022-06-14,121.16999816894533,1809.5,30364.830078125,3735.47998046875,3989.580078125
113,2022-06-15,118.51000213623048,1815.300048828125,30668.529296875,3789.989990234375,3964.85009765625
114,2022-06-16,119.80999755859376,1845.699951171875,29927.0703125,3666.77001953125,3904.97998046875
115,2022-06-17,113.12000274658205,1835.5999755859373,29888.779296875,3674.840087890625,3896.760009765625
116,2022-06-21,114.6500015258789,1834.5999755859373,30530.25,3764.7900390625,3904.0400390625
117,2022-06-22,111.73999786376952,1834.300048828125,30483.130859375,3759.889892578125,3981.25
118,2022-06-23,110.0500030517578,1825.699951171875,30677.359375,3795.72998046875,4016.75
119,2022-06-24,113.12000274658205,1826.5,31500.6796875,3911.739990234375,4078.590087890625
120,2022-06-27,115.08999633789062,1820.9000244140625,31438.259765625,3900.110107421875,4138.75
121,2022-06-28,117.9800033569336,1817.5,30946.990234375,3821.550048828125,4131.080078125
122,2022-06-29,116.26000213623048,1813.699951171875,31029.310546875,3818.830078125,4106.81005859375
123,2022-06-30,114.80999755859376,1804.0999755859373,30775.4296875,3785.3798828125,4107.52001953125
124,2022-07-01,111.62999725341795,1798.9000244140625,31097.259765625,3825.330078125,4149.6201171875
125,2022-07-05,102.7699966430664,1761.800048828125,30967.8203125,3831.389892578125,4203.2998046875
126,2022-07-06,100.69000244140624,1734.9000244140625,31037.6796875,3845.080078125,4253.009765625
127,2022-07-07,104.6500015258789,1737.9000244140625,31384.55078125,3902.6201171875,4327.5400390625
128,2022-07-08,107.0199966430664,1740.5999755859375,31338.150390625,3899.3798828125,4379.22998046875
129,2022-07-11,107.0999984741211,1730.0,31173.83984375,3854.429931640625,4418.75
130,2022-07-12,99.48999786376952,1723.300048828125,30981.330078125,3818.800048828125,4577.1298828125
131,2022-07-13,99.56999969482422,1734.199951171875,30772.7890625,3801.780029296875,4606.91015625
132,2022-07-14,99.0999984741211,1704.5,30630.169921875,3790.3798828125,4533.16015625
133,2022-07-15,101.16000366210938,1702.4000244140625,31288.259765625,3863.159912109375,4490.25
134,2022-07-18,106.2699966430664,1709.199951171875,31072.609375,3830.85009765625,4357.25
135,2022-07-19,107.3499984741211,1710.0,31827.05078125,3936.68994140625,4321.52978515625
136,2022-07-20,106.91999816894533,1699.5,31874.83984375,3959.89990234375,4315.39990234375
137,2022-07-21,103.86000061035156,1712.699951171875,32036.900390625,3998.949951171875,4354.25
138,2022-07-22,103.1999969482422,1727.0999755859375,31899.2890625,3961.6298828125,4400.64013671875
139,2022-07-25,105.1500015258789,1719.0,31990.0390625,3966.840087890625,4463.25
140,2022-07-26,104.4000015258789,1717.699951171875,31761.5390625,3921.050048828125,4466.0498046875
141,2022-07-27,106.62000274658205,1719.0999755859375,32197.58984375,4023.610107421875,4449.85986328125
142,2022-07-28,107.13999938964844,1750.300048828125,32529.630859375,4072.429931640625,4427.89013671875
143,2022-07-29,110.01000213623048,1762.9000244140625,32845.12890625,4130.2900390625,4373.580078125
144,2022-08-01,100.02999877929688,1769.0,32798.3984375,4118.6298828125,4285.25
145,2022-08-02,100.54000091552734,1771.0999755859375,32396.169921875,4091.18994140625,4257.580078125
146,2022-08-03,96.77999877929688,1758.0,32812.5,4155.169921875,4305.7099609375
147,2022-08-04,94.12000274658205,1788.5,32726.8203125,4151.93994140625,4311.31982421875
148,2022-08-05,94.91999816894533,1772.9000244140625,32803.46875,4145.18994140625,4304.25
149,2022-08-08,96.6500015258789,1786.800048828125,32832.5390625,4140.06005859375,4343.35009765625
150,2022-08-09,96.30999755859376,1794.0,32774.41015625,4122.47021484375,4310.490234375
151,2022-08-10,97.4000015258789,1795.5999755859375,33309.51171875,4210.240234375,4335.25
152,2022-08-11,99.5999984741211,1789.699951171875,33336.671875,4207.27001953125,4270.58984375
153,2022-08-12,98.1500015258789,1798.5999755859375,33761.05078125,4280.14990234375,4231.25
154,2022-08-15,95.0999984741211,1781.4000244140625,33912.44140625,4297.14013671875,4160.259765625
155,2022-08-16,92.33999633789062,1773.199951171875,34152.01171875,4305.2001953125,4159.919921875
156,2022-08-17,93.6500015258789,1760.300048828125,33980.3203125,4274.0400390625,4237.580078125
157,2022-08-18,96.58999633789062,1755.300048828125,33999.0390625,4283.740234375,4342.7998046875
158,2022-08-19,96.72000122070312,1747.5999755859375,33706.73828125,4228.47998046875,4394.919921875
159,2022-08-22,96.4800033569336,1734.0,33063.609375,4137.990234375,4375.25
160,2022-08-23,100.22000122070312,1746.800048828125,32909.58984375,4128.72998046875,4398.56982421875
161,2022-08-24,101.22000122070312,1747.800048828125,32969.23046875,4140.77001953125,4362.419921875
162,2022-08-25,99.33999633789062,1757.699951171875,33291.78125,4199.1201171875,4390.580078125
163,2022-08-26,100.98999786376952,1736.0999755859375,32283.400390625,4057.659912109375,4392.18017578125
164,2022-08-29,105.08999633789062,1736.5999755859375,32098.990234375,4030.610107421875,4399.35986328125
165,2022-08-30,99.30999755859376,1723.199951171875,31790.869140625,3986.159912109375,4375.580078125
166,2022-08-31,96.48999786376952,1712.800048828125,31510.4296875,3955.0,4411.919921875
167,2022-09-01,92.36000061035156,1696.5999755859375,31656.419921875,3966.85009765625,4419.919921875
168,2022-09-02,93.0199966430664,1709.800048828125,31318.439453125,3924.260009765625,4478.75
169,2022-09-06,92.83000183105467,1700.4000244140625,31145.30078125,3908.18994140625,4461.580078125
170,2022-09-07,88.0,1715.300048828125,31581.279296875,3979.8701171875,4600.0
171,2022-09-08,89.1500015258789,1708.0,31774.51953125,4006.179931640625,4398.5498046875
172,2022-09-09,92.83999633789062,1716.199951171875,32151.7109375,4067.360107421875,4396.0
